Team,PR
DET,7.0
BAL,6.5
BUF,6.4
GB,5.7
PHI,5.4
MIN,4.8
KC,3.3
SF,3.0
CIN,2.9
LA,1.9
LAC,1.9
HOU,1.6
WAS,1.1
TB,1.1
MIA,0.8
SEA,0.5
DEN,0.2
ARI,0.0
PIT,-0.1
ATL,-1.2
NYJ,-1.4
CHI,-1.8
IND,-2.0
TEN,-4.3
CLE,-4.3
DAL,-4.7
JAX,-5.0
NO,-5.0
LV,-5.5
NE,-6.1
CAR,-6.8
NYG,-8.8
HFA,1.3
mean_score,22.7
